Valeurfonciere,Codepostal,Codedepartement,Surfacereellebati,Nombrepiecesprincipales,Typelocal_Appartement,Typelocal_Maison
101300.0,64140.0,64.0,69,4,1,0
379000.0,75010.0,75.0,43,2,1,0
105000.0,41000.0,41.0,74,4,1,0
376200.0,75020.0,75.0,36,2,1,0
415000.0,75020.0,75.0,49,2,1,0
216950.0,95610.0,95.0,68,3,1,0
141000.0,91450.0,91.0,52,3,1,0
212000.0,75005.0,75.0,16,1,1,0
170000.0,77144.0,77.0,47,2,1,0
255000.0,95310.0,95.0,83,4,0,1
18000.0,13014.0,13.0,18,1,1,0
740000.0,75015.0,75.0,64,3,1,0
607000.0,75015.0,75.0,58,3,1,0
150865.0,33800.0,33.0,21,1,1,0
187000.0,91800.0,91.0,48,2,1,0
45000.0,77130.0,77.0,25,1,1,0
163000.0,59170.0,59.0,89,4,1,0
88000.0,44340.0,44.0,34,2,1,0
128250.0,30700.0,30.0,65,3,1,0
75500.0,44100.0,44.0,26,1,1,0
30000.0,85110.0,85.0,30,1,1,0
262300.0,75002.0,75.0,21,1,1,0
149400.0,33290.0,33.0,44,2,1,0
126500.0,93270.0,93.0,80,4,1,0
110000.0,77144.0,77.0,22,1,1,0
791000.0,94220.0,94.0,80,4,1,0
180000.0,22700.0,22.0,57,3,1,0
56900.0,5260.0,5.0,24,1,1,0
120000.0,93350.0,93.0,50,2,1,0
51500.0,54400.0,54.0,40,2,1,0
162000.0,66000.0,66.0,93,4,1,0
60000.0,78955.0,78.0,26,1,1,0
25000.0,59100.0,59.0,20,1,1,0
140500.0,85160.0,85.0,47,2,1,0
319000.0,78700.0,78.0,79,4,0,1
130000.0,77000.0,77.0,53,3,1,0
1304900.0,75009.0,75.0,107,4,1,0
244800.0,69330.0,69.0,59,4,1,0
205000.0,78690.0,78.0,83,3,1,0
179000.0,75018.0,75.0,19,1,1,0
156000.0,26130.0,26.0,80,3,1,0
350000.0,75015.0,75.0,31,2,1,0
473700.0,94300.0,94.0,46,2,1,0
26500.0,3200.0,3.0,45,2,1,0
128000.0,91680.0,91.0,53,2,1,0
284650.0,69540.0,69.0,134,5,1,0
67800.0,38250.0,38.0,19,2,1,0
172000.0,77200.0,77.0,47,2,1,0
85000.0,6460.0,6.0,31,1,1,0
305510.0,93500.0,93.0,39,3,1,0
119900.0,35000.0,35.0,30,1,1,0
406500.0,75019.0,75.0,49,2,1,0
447000.0,20000.0,0.0,80,3,1,0
80684.51,34070.0,34.0,23,1,1,0
180000.0,75011.0,75.0,16,1,1,0
133000.0,78480.0,78.0,40,2,1,0
75500.0,85270.0,85.0,36,2,1,0
570500.0,75015.0,75.0,49,3,1,0
188900.0,93330.0,93.0,57,2,1,0
64505.0,42300.0,42.0,49,2,1,0
93000.0,83000.0,83.0,71,4,1,0
245000.0,75017.0,75.0,41,2,1,0
164000.0,35000.0,35.0,36,1,1,0
506500.0,75011.0,75.0,47,2,1,0
482000.0,75010.0,75.0,50,2,1,0
51000.0,34300.0,34.0,34,1,1,0
415000.0,75004.0,75.0,34,2,1,0
213000.0,95100.0,95.0,67,3,1,0
320000.0,78420.0,78.0,62,3,1,0
223000.0,13015.0,13.0,82,4,1,0
129119.0,31320.0,31.0,47,2,1,0
133190.0,31200.0,31.0,56,3,1,0
200010.0,75018.0,75.0,23,1,1,0
442000.0,75005.0,75.0,30,2,1,0
444000.0,75013.0,75.0,80,4,1,0
33000.0,59600.0,59.0,68,4,1,0
107000.0,27000.0,27.0,45,2,1,0
275800.0,92400.0,92.0,42,2,1,0
122000.0,35000.0,35.0,45,2,1,0
317200.0,74560.0,74.0,135,3,1,0
434000.0,75006.0,75.0,28,2,1,0
333000.0,91620.0,91.0,110,6,0,1
445450.0,75011.0,75.0,37,1,1,0
171000.0,83000.0,83.0,90,5,1,0
863400.0,75011.0,75.0,70,3,1,0
57000.0,65000.0,65.0,53,3,1,0
49000.0,6400.0,6.0,20,1,1,0
519000.0,75003.0,75.0,39,2,1,0
176000.0,33510.0,33.0,44,2,1,0
325000.0,94150.0,94.0,62,3,1,0
273000.0,93300.0,93.0,76,4,1,0
161000.0,74100.0,74.0,48,2,1,0
168000.0,76470.0,76.0,58,3,1,0
68000.0,60700.0,60.0,28,1,1,0
123500.0,6000.0,6.0,27,1,1,0
123000.0,93300.0,93.0,27,1,1,0
145000.0,91260.0,91.0,32,1,1,0
42000.0,49500.0,49.0,52,2,1,0
90000.0,91100.0,91.0,28,1,1,0
175000.0,91120.0,91.0,59,3,1,0
426000.0,38000.0,38.0,137,5,1,0
144000.0,6830.0,6.0,46,3,1,0
140000.0,94340.0,94.0,26,2,1,0
149000.0,59840.0,59.0,68,4,1,0
260000.0,92170.0,92.0,35,2,1,0
35000.0,35400.0,35.0,23,1,1,0
380010.0,75019.0,75.0,40,3,1,0
159000.0,95280.0,95.0,55,3,1,0
184000.0,91100.0,91.0,58,3,1,0
98000.0,11430.0,11.0,45,3,1,0
76000.0,38410.0,38.0,36,2,1,0
303270.0,33680.0,33.0,72,4,0,1
318760.0,92340.0,92.0,40,2,1,0
162000.0,95300.0,95.0,47,2,1,0
290000.0,92600.0,92.0,41,2,1,0
80000.0,84800.0,84.0,38,2,1,0
418600.0,75010.0,75.0,41,3,1,0
192000.0,38190.0,38.0,49,3,1,0
57500.0,72000.0,72.0,42,2,1,0
122400.0,28000.0,28.0,76,3,1,0
187700.0,69130.0,69.0,67,4,1,0
350000.0,6700.0,6.0,104,5,1,0
174200.0,94100.0,94.0,45,2,1,0
160000.0,44230.0,44.0,49,3,0,1
375000.0,77200.0,77.0,107,5,0,1
128800.0,83250.0,83.0,28,2,1,0
114250.0,91120.0,91.0,19,1,1,0
300971.0,94340.0,94.0,62,4,1,0
112000.0,28000.0,28.0,40,2,1,0
50000.0,25000.0,25.0,61,4,1,0
144100.0,38000.0,38.0,58,3,1,0
173000.0,64230.0,64.0,80,4,0,1
373000.0,92110.0,92.0,45,2,1,0
238000.0,13600.0,13.0,62,3,1,0
162000.0,59960.0,59.0,68,3,1,0
190000.0,91240.0,91.0,86,3,1,0
85000.0,48000.0,48.0,47,2,1,0
80000.0,85690.0,85.0,57,3,1,0
88506.0,75014.0,75.0,22,1,1,0
1330000.0,75016.0,75.0,120,5,1,0
326500.0,78300.0,78.0,80,4,1,0
90000.0,1200.0,1.0,100,4,1,0
143000.0,74260.0,74.0,27,2,1,0
109900.0,76120.0,76.0,68,4,1,0
157000.0,31000.0,31.0,32,1,1,0
259000.0,91120.0,91.0,82,4,1,0
76200.0,44600.0,44.0,40,2,1,0
149000.0,69003.0,69.0,62,3,1,0
226000.0,91470.0,91.0,80,1,0,1
300000.0,30210.0,30.0,150,5,0,1
614000.0,75020.0,75.0,75,3,1,0
158000.0,6250.0,6.0,38,2,1,0
213500.0,91300.0,91.0,96,5,1,0
448000.0,91370.0,91.0,95,3,1,0
212550.0,91400.0,91.0,57,2,0,1
250000.0,14360.0,14.0,43,3,1,0
100000.0,14600.0,14.0,32,2,1,0
230000.0,17000.0,17.0,75,3,1,0
176500.0,77124.0,77.0,80,3,1,0
190000.0,92800.0,92.0,28,2,1,0
103000.0,30240.0,30.0,36,2,1,0
166000.0,94210.0,94.0,30,1,1,0
175120.0,78150.0,78.0,33,1,1,0
67000.0,72000.0,72.0,36,2,1,0
840000.0,75018.0,75.0,64,3,1,0
5000.0,34200.0,34.0,58,1,1,0
856190.0,75010.0,75.0,79,4,1,0
77050.48,33121.0,33.0,25,2,1,0
120000.0,35500.0,35.0,77,4,1,0
94000.0,87000.0,87.0,82,4,1,0
175000.0,13012.0,13.0,54,3,1,0
267000.0,91700.0,91.0,77,3,1,0
248650.0,83430.0,83.0,39,2,1,0
150000.0,77186.0,77.0,78,4,1,0
182585.0,94210.0,94.0,21,2,1,0
152500.0,91700.0,91.0,79,4,1,0
179000.0,5500.0,5.0,82,4,0,1
159000.0,58000.0,58.0,25,1,1,0
364500.0,38000.0,38.0,105,4,1,0
56750.0,38100.0,38.0,23,1,1,0
212250.0,42100.0,42.0,217,1,1,0
380000.0,94520.0,94.0,130,6,0,1
160750.0,69400.0,69.0,90,4,1,0
119550.0,6200.0,6.0,24,1,1,0
104300.0,54000.0,54.0,49,2,1,0
58000.0,76790.0,76.0,23,1,1,0
215250.0,83140.0,83.0,74,4,1,0
31000.0,51200.0,51.0,36,2,1,0
155000.0,95160.0,95.0,55,3,1,0
130000.0,44800.0,44.0,75,4,1,0
585000.0,75019.0,75.0,68,3,1,0
65500.0,22100.0,22.0,71,3,1,0
116000.0,95440.0,95.0,33,2,1,0
92000.0,13014.0,13.0,65,4,1,0
285000.0,6000.0,6.0,62,3,1,0
409000.0,75018.0,75.0,34,2,1,0
181000.0,34340.0,34.0,110,3,1,0
146231.0,40660.0,40.0,51,3,1,0
625000.0,75017.0,75.0,64,3,1,0
135000.0,60520.0,60.0,43,2,1,0
184370.0,69100.0,69.0,54,3,1,0
154894.0,91270.0,91.0,58,3,1,0
69000.0,80000.0,80.0,30,2,1,0
52500.0,76600.0,76.0,21,1,1,0
100000.0,60500.0,60.0,19,1,1,0
220000.0,92270.0,92.0,33,2,1,0
180500.0,69800.0,69.0,69,3,1,0
360000.0,78110.0,78.0,67,4,1,0
355000.0,91570.0,91.0,77,4,0,1
68500.0,45800.0,45.0,68,3,1,0
158000.0,94430.0,94.0,61,3,1,0
440216.0,75019.0,75.0,53,2,1,0
124007.0,77700.0,77.0,19,1,1,0
597000.0,75011.0,75.0,58,3,1,0
235670.0,77000.0,77.0,92,4,1,0
56522.0,34300.0,34.0,21,2,1,0
224900.0,80550.0,80.0,85,4,0,1
133000.0,17000.0,17.0,36,2,1,0
92020.0,77270.0,77.0,32,1,1,0
125000.0,91860.0,91.0,73,4,1,0
190000.0,75006.0,75.0,20,2,1,0
131365.0,87280.0,87.0,69,3,0,1
200000.0,93700.0,93.0,40,2,1,0
12500.0,26240.0,26.0,80,3,1,0
825700.0,92500.0,92.0,80,4,0,1
323754.0,59000.0,59.0,85,4,1,0
805920.0,75007.0,75.0,111,4,1,0
145000.0,95320.0,95.0,39,2,1,0
220500.0,6800.0,6.0,48,2,1,0
237000.0,93450.0,93.0,72,3,1,0
93500.0,38000.0,38.0,23,1,1,0
70300.0,54130.0,54.0,69,4,1,0
150490.0,51100.0,51.0,63,3,1,0
730000.0,75003.0,75.0,55,3,1,0
849200.0,75017.0,75.0,92,3,1,0
375000.0,78390.0,78.0,86,5,1,0
226740.0,54000.0,54.0,128,3,1,0
255000.0,38000.0,38.0,85,3,1,0
180000.0,75013.0,75.0,15,1,1,0
173500.0,93400.0,93.0,22,1,1,0
340000.0,92300.0,92.0,28,3,1,0
114000.0,10430.0,10.0,41,2,0,1
243300.0,95380.0,95.0,75,3,1,0
156800.0,83980.0,83.0,27,1,1,0
298000.0,75015.0,75.0,26,1,1,0
294000.0,6500.0,6.0,45,3,1,0
169000.0,6500.0,6.0,49,1,1,0
157250.0,13015.0,13.0,53,4,0,1
255000.0,95870.0,95.0,41,2,1,0
417000.0,69007.0,69.0,68,2,1,0
1160000.0,75011.0,75.0,203,6,1,0
288384.0,75012.0,75.0,52,3,1,0
133000.0,95400.0,95.0,56,2,1,0
63500.0,40000.0,40.0,60,3,1,0
101505.0,40170.0,40.0,64,3,0,1
163000.0,78610.0,78.0,39,2,1,0
224000.0,75017.0,75.0,17,1,1,0
168666.67,75016.0,75.0,75,3,1,0
74750.0,87100.0,87.0,43,2,1,0
615000.0,75009.0,75.0,47,3,1,0
62300.0,87000.0,87.0,30,2,1,0
215050.0,64700.0,64.0,40,1,1,0
298000.0,69006.0,69.0,50,3,1,0
155000.0,75009.0,75.0,10,1,1,0
127200.0,83200.0,83.0,115,5,1,0
249360.0,75014.0,75.0,26,2,1,0
40000.0,24580.0,24.0,90,2,0,1
412000.0,75010.0,75.0,39,1,1,0
179700.0,77000.0,77.0,95,4,1,0
215000.0,74210.0,74.0,72,3,1,0
139000.0,95800.0,95.0,45,2,1,0
158000.0,91800.0,91.0,68,3,1,0
75000.0,91100.0,91.0,21,1,1,0
257000.0,69008.0,69.0,66,3,1,0
135000.0,44000.0,44.0,30,1,1,0
100000.0,7500.0,7.0,47,3,1,0
245000.0,78280.0,78.0,77,4,1,0
146000.0,91310.0,91.0,46,2,1,0
189000.0,77181.0,77.0,52,3,1,0
1165000.0,75017.0,75.0,105,3,1,0
130000.0,64100.0,64.0,54,2,1,0
62791.0,69100.0,69.0,18,1,1,0
45000.0,13004.0,13.0,24,1,1,0
174000.0,93220.0,93.0,42,2,1,0
264000.0,38330.0,38.0,65,3,1,0
169000.0,94230.0,94.0,25,1,1,0
126000.0,78955.0,78.0,31,1,1,0
150500.0,35230.0,35.0,67,3,1,0
133000.0,93110.0,93.0,26,1,1,0
939420.0,75006.0,75.0,45,2,1,0
446321.0,75003.0,75.0,28,2,1,0
2600000.0,75007.0,75.0,154,7,1,0
598520.0,75011.0,75.0,51,2,1,0
231000.0,77100.0,77.0,87,4,1,0
190000.0,88000.0,88.0,134,6,0,1
321000.0,75012.0,75.0,25,2,1,0
132130.0,40390.0,40.0,47,2,1,0
135700.0,4000.0,4.0,81,4,1,0
230000.0,77270.0,77.0,65,3,0,1
232000.0,75006.0,75.0,25,2,1,0
